1,1,101,Anillo,100,120,300
2,1,102,Cadena dije plata,80,150,350
3,1,103,Juego de Cadena y arretes,50,200,400
4,1,104,Gorra varios colores,70,120,250
5,1,105,Gorro varios colores,40,110,220
6,2,201,Chamarra negra,300,250,550
7,2,202,Chamarra blanca,300,250,550
8,2,203,Chamarra gris,300,250,550
9,2,204,Chamarra rosa ,300,250,550
10,2,205,Chamarra azul ,300,250,550
11,3,301,Conjunto de short y blusa,200,250,500
12,3,302,Conjunto negro,200,300,650
13,3,303,Conjunto gris,200,300,650
14,3,304,Conjunto blanco ,200,300,650
15,4,401,Playera negra logo rojo,350,150,400
16,4,402,Playera negro logo azul,350,150,400
17,4,403,Playera negra logo blanco,350,150,400
18,4,404,Playera negro logo blanco dama,350,150,400
19,4,405,Playera negro logo blanco dama,350,150,400
20,4,406,Playera negro logo dorado RV,350,150,400
21,4,407,Playera negro 2logo blanco RV,350,150,400
22,5,501,Tenis Nike blanco logo Rv GeraMX,300,400,950
23,5,502,Tenis Nike logo dorado,300,400,950
24,5,503,Tenis tipo Jordan  logo blanco,300,400,950
25,5,504,Tenis Nike blanco logo negro RV,300,400,950
